name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
TABLE_RECORD_CREATED_AT,VARCHAR(26),COLUMN,Y,,N,N,,,,,
TABLE_RECORD_UPDATED_AT,VARCHAR(26),COLUMN,Y,,N,N,,,,,
EVENT_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ORIGINAL_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STORE_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLIENT_REQUEST_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
APP_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_ID_KEY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SURROGATE_APP_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_UNIQUE_TX_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
UNIQUE_USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_RECEIVED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
TX_TIMESTAMP_MS,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_SENT_FOR_NSURE_REVIEW,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
AUTHORIZATION_STAGE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL_NORMALIZED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE_NUMBER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DATE_OF_BIRTH,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
PERSONAL_INFO_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
MERCHANT_SEGMENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_ADDRESS,VARIANT,COLUMN,Y,,N,N,,,,,
CART,VARIANT,COLUMN,Y,,N,N,,,,,
CART_ITEMS_TYPES,ARRAY,COLUMN,Y,,N,N,,,,,
PRODUCT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CART_SKUS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_BRANDS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_ITEMS_ARE_GIFTS,ARRAY,COLUMN,Y,,N,N,,,,,
CART_ITEMS_FULFILLMENT,ARRAY,COLUMN,Y,,N,N,,,,,
CREDIT_USE,VARIANT,COLUMN,Y,,N,N,,,,,
PAID_AMOUNT_CURRENCY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAID_AMOUNT_VALUE_IN_CURRENCY,FLOAT,COLUMN,Y,,N,N,,,,,
PROCESSING_FEE_CURRENCY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSING_FEE_VALUE_IN_CURRENCY,FLOAT,COLUMN,Y,,N,N,,,,,
BIN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_FOUR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSOR,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PROCESSOR_MERCHANT_IDENTIFIER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_TOKEN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_INTERNAL_IDENTIFIER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CARD_HOLDER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_THREE_D_SECURE_VERIFIED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
THREE_D_SECURE_RESULT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_UNDER_THREE_D_SECURE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
PAYPAL_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PAYMENT_METHOD_DETAILS_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
IS_ANONYMOUS,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
FAILURE_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRANSACTION_DETAILS_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
DEVICE_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IP,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
USER_AGENT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SESSION_INFO_LANGUAGE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SESSION_INFO_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_INFO,VARIANT,COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_RECIPIENT_PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_INFO,ARRAY,COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_EMAILS,ARRAY,COLUMN,Y,,N,N,,,,,
ALL_RECIPIENT_EMAILS_NORMALIZED,ARRAY,COLUMN,Y,,N,N,,,,,
IS_GIFTING,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
CART_DELIVERY_METHODS,ARRAY,COLUMN,Y,,N,N,,,,,
IS_DELIVERY_METHOD_EMAIL_ONLY,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_DELIVERY_METHOD_CONTAINING_ON_SCREEN,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
PARTNER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RISK_MODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TX_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_CREATED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
CALCULATED_PROPS_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
CART_USD,VARIANT,COLUMN,Y,,N,N,,,,,
GMV,FLOAT,COLUMN,Y,,N,N,,,,,
IS_EMAIL_VERIFIED_BY_THIRD_PARTY,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_RECIPIENT_EMAIL_VERIFIED_BY_THIRD_PARTY,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
EMAIL_FIRST_SEEN,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
PAYPAL_EMAIL_FIRST_SEEN,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
RECIPIENT_EMAIL_FIRST_SEEN,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
EMAIL_DATA_THIRD_PARTY_RISK_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
IP_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_DEVICE_ID_AUTHENTICATED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_PAYPAL_ADDRESS_CONFIRMED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
PIPL_INFO_AGE,VARIANT,COLUMN,Y,,N,N,,,,,
PIPL_INFO_PERSON,VARIANT,COLUMN,Y,,N,N,,,,,
IS_PROCESSOR_REPORTED_STOLEN_CARD,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_PROCESSOR_REJECTED_DUE_TO_FRAUD,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IP_ADDRESS_INFO,VARIANT,COLUMN,Y,,N,N,,,,,
ISP,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ISP_ARRAY,VARIANT,COLUMN,Y,,N,N,,,,,
ASN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_EMAIL_SEEN_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_PAYPAL_EMAIL_SEEN_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_RECIPIENT_EMAIL_SEEN_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
MERCHANT_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PARTNER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_DECISIONS,ARRAY,COLUMN,Y,,N,N,,,,,
COUNT_NSURE_DECISIONS,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,
NSURE_FIRST_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_FIRST_DECISION_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
NSURE_LAST_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_LAST_DECISION_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
NSURE_LAST_DECISION_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
IS_REASSESSED_TX,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
TRIGGERED_RULES,ARRAY,COLUMN,Y,,N,N,,,,,
COUNT_TRIGGERED_RULES,"NUMBER(9,0)",COLUMN,Y,,N,N,,,,,
RULE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RULE_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RULE_DESCRIPTION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_RULE_PARTICIPATING_IN_LFS_PO,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
TRIGGERED_LFS_RULES,ARRAY,COLUMN,Y,,N,N,,,,,
MODEL_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MODEL_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
MODEL_VERSION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MODEL_APPROVAL_THRESHOLD,FLOAT,COLUMN,Y,,N,N,,,,,
MODEL_SOFT_APPROVAL_THRESHOLD,FLOAT,COLUMN,Y,,N,N,,,,,
REJECTION_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NOT_REVIEWED_REASON,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIMULATED_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIMULATED_SEGMENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NSURE_SEGMENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ADDITIONAL_SEGMENTS,VARIANT,COLUMN,Y,,N,N,,,,,
MERCHANT_LAST_DECISION_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
MERCHANT_DECISIONS,ARRAY,COLUMN,Y,,N,N,,,,,
COUNT_MERCHANT_DECISIONS,"NUMBER(18,0)",COLUMN,Y,,N,N,,,,,
MERCHANT_LAST_DECISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MERCHANT_LAST_DECISION_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
IS_FAILED_TX,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_REVIEWED,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
RAW_PROCESSOR_RESPONSE,VARIANT,COLUMN,Y,,N,N,,,,,
RAW_PROCESSOR_RESPONSE_SOURCE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RAW_PROCESSOR_REQUEST,VARIANT,COLUMN,Y,,N,N,,,,,
RAW_PROCESSOR_REQUEST_SOURCE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_UNDER_NSURE_LIABILITY,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
IS_SOFT_APPROVED,"NUMBER(1,0)",COLUMN,Y,,N,N,,,,,
APP_INSTALL_DATETIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
DEVICE_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEVICE_MODEL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEVICE_OS_VERSION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEVICE_APP_INSTALL_SDK_VERSION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIPP_VISITOR_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIPP_IS_INCOGNITO,BOOLEAN,COLUMN,Y,,N,N,,,,,
DAYS_FROM_FIRST_APP_INSTALL_TO_TX,"NUMBER(24,6)",COLUMN,Y,,N,N,,,,,
CARD_BRAND,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CARD_CATEGORY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CARD_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_CARD_COMMERCIAL,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
IS_CARD_PREPAID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
CARD_ISSUER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BIN_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CARD_ISSUER_NORMALIZED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BIN_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
BIN_CREATED_TIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
BIN_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
HLR_PHONE_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_IS_VALID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
HLR_NUMBER_VALID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
HLR_IS_MOBILE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
HLR_IS_PORTED,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
HLR_IS_ROAMING,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
HLR_NUMBER_TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_ORIGIN_NETWORK,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_CURRENT_NETWORK,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_PORTED_NETWORK,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
HLR_ADDITIONAL_DATA,OBJECT,COLUMN,Y,,N,N,,,,,
HLR_CREATED_TIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
HLR_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
MAXMIND_IP_RISK_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
MAXMIND_RISK_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
MAXMIND_CREATED_TIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
MAXMIND_UPLOADED_TO_SNOWFLAKE,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
BUYER_EMAIL_SMTPV_RESPONSE,VARIANT,COLUMN,Y,,N,N,,,,,
SMTPV_BUYER_EMAIL_CREATED_TIME,TIMESTAMP_NTZ(9),COLUMN,Y,,N,N,,,,,
